lat,lng,count
-51.6,0,0
-51,-0.42,0
-50.9,-1,0
-50.58,-2,0
-50.48,-3,0
-50.54,-4,0
-50.85,-5,0
-52,-5.36,0
-52.61,-6,0
-52.6,-7,0
-52.27,-8,0
-52,-8.7,0
-51.68,-10,0
-51.82,-11,0
-51.87,-12,0
-51.84,-13,0
-52,-13.99,0
-52.47,-15,0
-52.7,-16,0
-53,-16.8,0
-53.81,-17,0
-55,-17.61,0
-55.64,-18,0
-55.76,-19,0
-55.73,-20,0
-55.63,-21,0
-55.4,-22,0
-55.11,-23,0
-55.01,-24,0
-54.96,-25,0
-54.87,-26,0
-54.83,-27,0
-54.41,-28,0
-54,-28.51,0
-53,-28.92,0
-52,-28.86,0
-52.52,-30,0
-52.48,-31,0
-52.29,-32,0
-52.34,-33,0
-52.41,-34,0
-53,-34.18,0
-54,-34.06,0
-55,-33.77,0
-56,-33.81,0
-56.23,-34,0
-56.62,-35,0
-56.4,-36,0
-56,-36.53,0
-55.83,-37,0
-55.51,-38,0
-55.22,-39,0
-55.31,-40,0
-55.85,-41,0
-56,-41.41,0
-56.35,-42,0
-56.52,-43,0
-56.54,-44,0
-56,-44.84,0
-55,-45.94,0
-55.54,-47,0
-56,-47.42,0
-56.43,-48,0
-57,-48.73,0
-57.38,-49,0
-57.84,-50,0
-57.87,-51,0
-58,-51.57,0
-58.13,-52,0
-58.4,-53,0
-58.33,-54,0
-58,-54.53,0
-57.79,-55,0
-57.44,-56,0
-57.41,-57,0
-57.34,-58,0
-57.42,-59,0
-57.83,-60,0
-58.23,-61,0
-58.13,-62,0
-58,-62.73,0
-58.73,-64,0
-59,-64.29,0
-59.34,-65,0
-59.54,-66,0
-59.56,-67,0
-60,-67.96,0
-60.99,-69,0
-60.92,-70,0
-60.77,-71,0
-60.81,-72,0
-61,-72.53,0
-61.4,-73,0
-62,-73.68,0
-62.08,-75,0
-61.35,-76,0
-61.84,-77,0
-62.9,-78,0
-63.18,-79,0
-63.02,-80,0
-62.56,-81,0
-62.23,-82,0
-62.16,-83,0
-62.11,-84,0
-62.18,-85,0
-62.18,-86,0
-62.06,-87,0
-61.72,-88,0
-61.67,-89,0
-61.61,-90,0
-61.5,-91,0
-61.48,-92,0
-61.44,-93,0
-61.28,-94,0
